Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2026-06-30,1810.199951171875,1816.300048828125,1782.5999755859375,1786.9000244140625,2230098
2026-07-01,1848.199951171875,1881.699951171875,1815.4000244140625,1829.5,4123193
2026-07-02,1883.199951171875,1888.0,1845.5,1858.5,3089068
2026-07-03,1874.199951171875,1891.0999755859375,1865.0,1885.0,1645113
2026-07-06,1864.4000244140625,1883.5,1859.300048828125,1872.800048828125,1042695
2026-07-07,1833.9000244140625,1880.5,1828.699951171875,1872.0,1818238
2026-07-08,1791.699951171875,1850.4000244140625,1783.199951171875,1824.9000244140625,1413919
2026-07-09,1800.0999755859375,1821.0,1795.300048828125,1795.300048828125,1106782
2026-07-10,1828.0999755859375,1852.9000244140625,1800.0999755859375,1800.0999755859375,1489787
2026-07-13,1810.300048828125,1825.9000244140625,1807.0999755859375,1811.0,1156618
2026-07-14,1821.9000244140625,1840.9000244140625,1808.5999755859375,1819.300048828125,1636778
2026-07-15,1829.0999755859375,1838.0,1817.199951171875,1826.0,917984
2026-07-16,1826.4000244140625,1859.699951171875,1817.5,1828.5,1952268
2026-07-17,1837.4000244140625,1841.5,1817.0999755859375,1825.5999755859375,962152
2026-07-20,1844.0,1853.699951171875,1828.0,1836.0999755859375,754950
2026-07-21,1846.5,1857.4000244140625,1833.0,1840.0,1372166
2026-07-22,1819.4000244140625,1847.199951171875,1811.9000244140625,1837.0999755859375,1436881
2026-07-23,1778.5,1825.5,1769.0,1818.300048828125,2592430
2026-07-24,1768.300048828125,1784.9000244140625,1755.199951171875,1764.9000244140625,1685770
2026-07-27,1770.4000244140625,1785.0,1752.0999755859375,1784.0,2266975
2026-07-28,1774.699951171875,1783.0,1758.9000244140625,1770.4000244140625,1776549
2026-07-29,1719.699951171875,1792.0,1705.0999755859375,1785.0,5088460
2026-07-30,1664.0999755859375,1727.699951171875,1658.4000244140625,1726.699951171875,5395211
2026-07-31,1696.5,1708.0999755859375,1650.0,1674.0,4703529
