Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2026-06-30,8682.0,8770.0,8649.0,8654.5,491231
2026-07-01,8618.5,8738.5,8611.5,8681.0,163174
2026-07-02,8696.0,8750.0,8611.5,8620.0,152705
2026-07-03,8893.5,8920.5,8717.5,8743.0,377549
2026-07-06,8888.5,8925.0,8823.5,8896.0,219681
2026-07-07,8837.0,8950.0,8811.0,8888.0,189321
2026-07-08,8753.5,8888.0,8700.0,8800.0,275829
2026-07-09,8845.5,8920.5,8756.5,8756.5,571832
2026-07-10,8841.0,8886.5,8773.5,8849.0,264694
2026-07-13,8782.5,8932.0,8764.5,8879.0,410798
2026-07-14,8900.5,8919.5,8739.0,8750.0,412508
2026-07-15,8934.0,9009.0,8905.0,8948.5,501832
2026-07-16,8888.0,8944.5,8851.5,8930.5,234384
2026-07-17,8826.0,8892.0,8782.0,8875.0,144563
2026-07-20,8905.0,9000.0,8771.5,8825.0,317613
2026-07-21,8926.5,8945.5,8880.0,8934.0,200394
2026-07-22,8938.0,8945.5,8867.0,8926.0,158324
2026-07-23,8862.0,8920.0,8800.0,8895.0,148922
2026-07-24,8805.5,8869.5,8792.5,8801.0,189462
2026-07-27,8843.5,8860.5,8744.0,8816.0,135186
2026-07-28,8903.0,8945.0,8830.0,8844.5,167309
2026-07-29,8935.0,8970.0,8903.5,8932.0,164862
2026-07-30,8988.0,9009.0,8865.5,8900.0,263013
2026-07-31,8957.0,9036.5,8931.0,9025.0,268253
