Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2026-06-30,2635.699951171875,2672.10009765625,2630.300048828125,2658.0,1821479
2026-07-01,2716.39990234375,2723.0,2624.0,2648.0,1097512
2026-07-02,2744.5,2759.89990234375,2711.0,2720.0,1629567
2026-07-03,2737.800048828125,2762.39990234375,2730.0,2744.0,472124
2026-07-06,2754.89990234375,2758.0,2722.0,2724.0,504943
2026-07-07,2731.39990234375,2751.800048828125,2726.39990234375,2750.0,489066
2026-07-08,2665.89990234375,2713.10009765625,2653.300048828125,2676.60009765625,1481672
2026-07-09,2673.800048828125,2722.800048828125,2656.0,2658.0,918568
2026-07-10,2677.800048828125,2728.199951171875,2672.89990234375,2695.0,982095
2026-07-13,2652.10009765625,2664.39990234375,2630.10009765625,2650.5,1107802
2026-07-14,2641.0,2655.89990234375,2579.89990234375,2604.0,975301
2026-07-15,2670.0,2684.0,2644.89990234375,2644.89990234375,809114
2026-07-16,2674.699951171875,2693.10009765625,2660.10009765625,2688.0,455037
2026-07-17,2689.0,2700.0,2665.0,2665.0,452284
2026-07-20,2691.39990234375,2708.5,2666.699951171875,2689.0,571087
2026-07-21,2692.39990234375,2720.0,2680.5,2695.0,1000078
2026-07-22,2692.800048828125,2700.0,2665.60009765625,2683.0,528096
2026-07-23,2668.800048828125,2693.39990234375,2656.0,2671.10009765625,584245
2026-07-24,2637.89990234375,2657.10009765625,2620.10009765625,2620.10009765625,645563
2026-07-27,2710.199951171875,2723.89990234375,2664.300048828125,2665.800048828125,715239
2026-07-28,2736.199951171875,2749.800048828125,2706.300048828125,2712.0,1282146
2026-07-29,2758.39990234375,2864.0,2718.5,2746.199951171875,3803474
2026-07-30,2746.199951171875,2767.89990234375,2666.199951171875,2758.10009765625,2387024
2026-07-31,2747.300048828125,2774.89990234375,2732.39990234375,2773.89990234375,891429
