Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,,,,,
2026-06-30,9716.0,9750.0,9501.0,9665.0,430959
2026-07-01,9842.0,9900.0,9762.0,9762.0,200437
2026-07-02,9857.0,9998.0,9716.0,9975.0,423525
2026-07-03,9785.5,9925.0,9771.0,9899.0,145310
2026-07-06,10036.5,10058.0,9785.5,9800.0,265284
2026-07-07,10109.5,10190.0,10020.5,10040.0,172975
2026-07-08,10164.0,10264.5,9993.0,10070.0,249351
2026-07-09,10155.0,10260.0,10112.0,10176.0,191190
2026-07-10,10156.0,10298.0,10115.0,10177.5,354772
2026-07-13,10381.0,10442.0,10030.5,10080.0,1009236
2026-07-14,10166.0,10374.0,10145.5,10212.5,802768
2026-07-15,10323.0,10369.0,10200.0,10200.0,451477
2026-07-16,10331.5,10395.0,10278.0,10323.0,407238
2026-07-17,10443.0,10499.0,10350.0,10366.0,426656
2026-07-20,10522.5,10535.0,10401.5,10443.0,335474
2026-07-21,10403.5,10560.0,10342.5,10525.0,834319
2026-07-22,10998.5,11031.0,10575.0,10610.0,1448948
2026-07-23,11283.5,11331.0,10967.0,10999.5,1025555
2026-07-24,11130.0,11320.0,11100.0,11229.0,442440
2026-07-27,11183.5,11251.0,11094.0,11200.5,270544
2026-07-28,11374.0,11410.5,11156.0,11176.5,357417
2026-07-29,11338.0,11532.0,11290.0,11440.0,455484
2026-07-30,11432.0,11525.0,11305.5,11338.0,295600
2026-07-31,11520.5,11590.0,11329.5,11475.0,214354
