Price,Close,High,Low,Open,Volume
Ticker,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS
Date,,,,,
2026-06-30,433.2619323730469,440.95912198637683,432.1764579141541,439.7256009055798,4363382
2026-07-01,429.0186462402344,433.2126180551188,427.4890920950283,433.2126180551188,3391210
2026-07-02,433.1139221191406,434.1994267089653,427.0943331348959,432.62051367969866,4941315
2026-07-03,432.91656494140625,439.57757869121997,432.0284056825561,436.1237197098351,4283263
2026-07-06,426.6502990722656,434.69285090361603,425.5647944430974,432.91659250334976,5464728
2026-07-07,423.29510498046875,428.62391001195806,418.85442910168416,426.6502762880538,5315215
2026-07-08,423.3937683105469,426.3048901388495,420.8280685269201,422.35762263756385,3686631
2026-07-09,424.2325744628906,430.0547880836324,423.19642877577763,426.7489755984331,2855525
2026-07-10,423.6404724121094,426.89698616892525,421.1241014268408,424.47927277895263,4872051
2026-07-13,424.52862548828125,426.20619608219255,419.39716576691126,423.34443320942336,5650932
2026-07-14,424.9233703613281,430.74558414690506,422.40696915454276,424.28194538851466,6155516
2026-07-15,421.9135437011719,427.24237892900305,420.9760857372098,424.8739943320731,5624520
2026-07-16,421.7161865234375,424.82465357532686,420.2359612496559,421.9135318241189,4570655
2026-07-17,422.0122375488281,424.0352302451857,419.1011457885988,421.7655333259988,4142036
2026-07-20,423.7391662597656,427.78512152911406,422.50564514808997,422.50564514808997,5363624
2026-07-21,425.5647888183594,427.48909382259933,423.4924673019307,424.281938892374,4612497
2026-07-22,422.7523498535156,426.00886366121756,421.71620416462866,425.614112812821,5625202
2026-07-23,421.4201354980469,424.8246657715892,418.9037645064799,423.19642394673633,6064005
2026-07-24,421.7655334472656,423.2457587846673,419.150474707575,421.37081271367754,5403125
2026-07-27,421.8642272949219,425.3180864657575,420.1372977095041,423.8378611068279,5241433
2026-07-28,404.7429504394531,418.0156499521451,401.4371077611541,417.3248660676305,14222229
2026-07-29,404.6442565917969,408.0487869327455,400.89436442908794,407.6047072829655,9914444
2026-07-30,411.70001220703125,412.78548667708753,404.6936063729949,407.5060404891886,23225454
2026-07-31,414.1499938964844,415.1000061035156,410.1499938964844,413.0,5936522
