Price,Close,High,Low,Open,Volume
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
Date,,,,,
2026-06-30,1348.5479736328125,1366.335197924184,1338.6109903751822,1366.335197924184,2446438
2026-07-01,1331.4564208984375,1354.1126701144779,1321.618783139666,1342.486448136608,1423120
2026-07-02,1337.2197265625,1352.2246676278346,1320.6250138108092,1331.456349320485,808598
2026-07-03,1365.4407958984375,1381.6381265443156,1341.7908493793316,1347.4548811113666,1296170
2026-07-06,1359.2799072265625,1371.9991724837723,1348.846075242392,1367.229493500216,810266
2026-07-07,1346.063720703125,1371.5023734479773,1342.9832801697557,1353.4171125351145,1043736
2026-07-08,1340.4990234375,1374.2847660593495,1330.164536728251,1348.4486099367587,1561612
2026-07-09,1261.5,1340.499015360378,1253.1529099658608,1331.5557306025994,8410883
2026-07-10,1244.300048828125,1251.800048828125,1222.0,1244.9000244140625,8106606
2026-07-13,1234.5,1249.0999755859375,1226.300048828125,1244.300048828125,2437935
2026-07-14,1246.199951171875,1248.0,1231.199951171875,1234.5,1984818
2026-07-15,1229.5,1249.0999755859375,1226.4000244140625,1249.0999755859375,1685660
2026-07-16,1224.4000244140625,1235.0,1221.800048828125,1227.5,1935887
2026-07-17,1211.199951171875,1229.9000244140625,1201.199951171875,1227.5,2075149
2026-07-20,1223.0999755859375,1231.300048828125,1209.5999755859375,1213.300048828125,2212191
2026-07-21,1206.0,1230.0,1203.0,1224.699951171875,2182513
2026-07-22,1182.800048828125,1202.300048828125,1169.0,1191.0,2528082
2026-07-23,1166.300048828125,1171.5999755859375,1101.0,1101.0,6693935
2026-07-24,1151.699951171875,1166.300048828125,1131.4000244140625,1147.0,4750512
2026-07-27,1150.800048828125,1159.300048828125,1147.199951171875,1154.699951171875,1053461
2026-07-28,1135.5999755859375,1149.0,1130.199951171875,1145.0,2157306
2026-07-29,1142.300048828125,1147.800048828125,1131.0999755859375,1144.0,1280586
2026-07-30,1144.800048828125,1151.0,1139.0,1143.0,1350714
2026-07-31,1148.0999755859375,1154.300048828125,1141.699951171875,1152.0,1085538
