Price,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Date,,,,,
2026-06-30,7000.19482421875,7315.888914686804,6870.552423430929,7315.394096363187,2474671
2026-07-01,7065.01611328125,7085.798483134017,6980.402178880697,7000.194912073809,590493
2026-07-02,7174.86572265625,7194.658455684267,7068.974600956358,7080.8502407731685,828736
2026-07-03,7263.4384765625,7303.518762454016,7195.15354504362,7303.518762454016,317988
2026-07-06,7394.0703125,7420.295684015928,7209.008256897042,7263.9330915813425,300086
2026-07-07,7457.90185546875,7524.207511561691,7403.966657602104,7421.285299118917,592213
2026-07-08,7341.61962890625,7514.3112276450975,7268.38651540095,7338.155900564782,905003
2026-07-09,7284.71533203125,7372.2981749717155,7245.624684617143,7341.12462070477,625976
2026-07-10,7289.1689453125,7377.74142791456,7258.985026660402,7322.816592334511,497082
2026-07-13,7220.8837890625,7263.438164849478,7184.762051475879,7249.088433479451,787762
2026-07-14,7204.06005859375,7237.212886667504,7066.005744674686,7181.793233768094,458624
2026-07-15,7327.7646484375,7351.02110994581,7209.503067576094,7209.503067576094,758954
2026-07-16,7341.61962890625,7373.782820648442,7290.158522118742,7333.20771721983,618180
2026-07-17,7485.11669921875,7496.497520537057,7372.792940990242,7372.792940990242,489811
2026-07-20,7485.11669921875,7503.424976991679,7400.502766808728,7490.55970071881,266324
2026-07-21,7609.81103515625,7630.09858652119,7486.60127198869,7511.342188287397,451075
2026-07-22,7552.9072265625,7659.787989202536,7506.889120425818,7611.7906096836305,409800
2026-07-23,7641.4794921875,7708.279966929798,7529.155730954154,7545.48473589116,431136
2026-07-24,7548.9482421875,7630.098446154382,7496.49750059915,7630.098446154382,409577
2026-07-27,7688.98193359375,7765.678773783404,7568.741080909325,7600.409453632795,367549
2026-07-28,7754.79296875,7807.243712413061,7662.261939834976,7688.982130002951,449880
2026-07-29,7698.3837890625,7832.974378510051,7670.673961823298,7809.223098019306,522935
2026-07-30,7830.5,7847.818641390205,7649.891311216429,7787.945624012638,1496307
2026-07-31,7833.5,7899.0,7794.0,7899.0,720531
