Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2026-06-30,797.9500122070312,806.0999755859375,792.75,806.0999755859375,45778356
2026-07-01,796.1500244140625,802.25,793.5,793.5,26094378
2026-07-02,795.9000244140625,805.4500122070312,794.0,795.0,34143823
2026-07-03,801.0499877929688,807.0,798.5499877929688,803.0,25871958
2026-07-06,829.8499755859375,831.5,805.0,805.0,63203327
2026-07-07,829.2999877929688,843.0,826.0999755859375,843.0,57611729
2026-07-08,810.2999877929688,834.3499755859375,806.9500122070312,825.9000244140625,38754632
2026-07-09,817.5499877929688,822.8499755859375,812.2999877929688,813.0,39891798
2026-07-10,824.9500122070312,827.7000122070312,820.2999877929688,824.0,23595785
2026-07-13,817.9500122070312,821.9500122070312,811.0,817.0,21741736
2026-07-14,809.4000244140625,818.4000244140625,807.0,811.4000244140625,25605395
2026-07-15,815.4500122070312,819.7000122070312,809.7000122070312,811.0,21488739
2026-07-16,808.2999877929688,818.0,806.5,814.5,18698186
2026-07-17,819.5999755859375,823.7000122070312,808.5,810.0,17415322
2026-07-20,777.5999755859375,790.0,774.5499877929688,790.0,56061789
2026-07-21,761.4500122070312,772.5,760.0999755859375,769.1500244140625,42246009
2026-07-22,753.1500244140625,761.3499755859375,750.3499755859375,760.25,23385446
2026-07-23,747.25,751.0,743.25,749.4000244140625,32532090
2026-07-24,742.7999877929688,748.25,737.25,738.5,23837859
2026-07-27,739.5499877929688,747.9500122070312,738.0999755859375,746.0999755859375,29678752
2026-07-28,735.4000244140625,740.25,732.0,732.0,33886037
2026-07-29,748.2000122070312,751.25,740.7999877929688,743.0,20460659
2026-07-30,753.9500122070312,757.9000244140625,745.5,752.7999877929688,35844392
2026-07-31,748.1500244140625,757.5499877929688,747.2000122070312,753.9500122070312,25512663
