Price,Close,High,Low,Open,Volume
Ticker,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS
Date,,,,,
2026-06-30,575.8499755859375,584.9500122070312,571.1500244140625,583.7000122070312,3716670
2026-07-01,569.9500122070312,575.5,564.7999877929688,574.7999877929688,6839847
2026-07-02,571.3499755859375,576.5,569.0499877929688,574.2999877929688,1161547
2026-07-03,567.7000122070312,580.0,565.7000122070312,580.0,3165444
2026-07-06,564.2000122070312,571.2000122070312,559.9500122070312,565.75,3692940
2026-07-07,572.4500122070312,573.7999877929688,563.0999755859375,565.5,2585422
2026-07-08,555.7000122070312,573.6500244140625,553.1500244140625,571.4500122070312,3249938
2026-07-09,551.8499755859375,560.75,551.0,557.0,8590339
2026-07-10,567.7000122070312,570.0,554.0,555.0,6139132
2026-07-13,573.4000244140625,577.0,563.0,563.0,2309255
2026-07-14,555.2000122070312,572.0,553.25,570.0,6752588
2026-07-15,568.75,575.3499755859375,558.0,558.5,4422146
2026-07-16,567.5999755859375,588.0,557.0,585.0,7555055
2026-07-17,563.6500244140625,577.2000122070312,562.9000244140625,568.2999877929688,3978771
2026-07-20,564.6500244140625,567.2999877929688,560.25,567.2999877929688,1252168
2026-07-21,561.0,564.7999877929688,557.5,564.6500244140625,2529706
2026-07-22,553.0999755859375,561.9000244140625,550.2000122070312,560.0,1766190
2026-07-23,550.9500122070312,553.0,547.7000122070312,550.5,2300322
2026-07-24,555.0499877929688,556.75,547.2000122070312,548.0,1354038
2026-07-27,552.8499755859375,558.25,550.9000244140625,555.9500122070312,1368559
2026-07-28,558.75,560.4500122070312,551.2000122070312,552.8499755859375,1829401
2026-07-29,556.7000122070312,561.9500122070312,555.5999755859375,561.0,1180266
2026-07-30,545.4000244140625,558.8499755859375,544.7000122070312,557.0,4394541
2026-07-31,548.5,550.9000244140625,544.0499877929688,548.7000122070312,11437779
