Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2026-06-30,4724.80126953125,4769.838991331462,4603.781580166306,4745.694145197656,1121686
2026-07-01,4764.81298828125,4822.957721778694,4704.795893505018,4749.04492495991,820162
2026-07-02,4796.54638671875,4822.070842865256,4722.534943594995,4808.667892861511,775927
2026-07-03,4782.25634765625,4842.5688979457855,4756.534599484309,4828.969136532293,507590
2026-07-06,4872.7255859375,4877.061707033986,4754.071007771872,4792.407014807026,629194
2026-07-07,4922.986328125,4951.171837292884,4872.725626751207,4893.027104331045,676040
2026-07-08,4821.87353515625,4902.882152345592,4805.317261273791,4902.882152345592,888966
2026-07-09,4827.49072265625,4843.751536563329,4758.012699598729,4809.258901002858,534195
2026-07-10,4877.357421875,4895.983349245646,4817.241684293683,4852.0297792980355,686707
2026-07-13,4880.31396484375,4894.9978767294215,4800.389502224484,4846.314080256038,508201
2026-07-14,4807.58349609375,4886.12834962072,4794.673779930752,4850.650209123271,680383
2026-07-15,4805.51416015625,4886.128184187026,4797.432835946439,4843.652871177866,596432
2026-07-16,4826.998046875,4857.05591548049,4803.740058860958,4828.969054652409,289732
2026-07-17,4838.7255859375,4853.606791325124,4800.290933173707,4828.9691933996155,434144
2026-07-20,4905.54296875,4912.736954758185,4828.969123032117,4836.853154253394,352274
2026-07-21,4961.12548828125,4983.693432301597,4899.925597271809,4937.374747049832,554172
2026-07-22,4914.806640625,5038.8814865227,4898.6444727586395,4976.794740258093,877166
2026-07-23,5098.7998046875,5122.944649855584,4907.907990998814,4914.806518189695,1603396
2026-07-24,5011.10009765625,5102.0,4982.0,5101.2001953125,694927
2026-07-27,5113.7998046875,5125.5,5034.2001953125,5050.0,564495
2026-07-28,5154.2998046875,5172.7998046875,5096.60009765625,5108.0,633759
2026-07-29,5149.10009765625,5227.89990234375,5127.7001953125,5185.0,682570
2026-07-30,5325.0,5353.60009765625,5161.0,5168.7998046875,1368741
2026-07-31,5386.0,5394.7001953125,5297.5,5375.0,769240
