Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2026-06-30,2118.199951171875,2151.300048828125,2114.199951171875,2151.0,2364422
2026-07-01,2182.0,2190.0,2120.199951171875,2133.5,2497576
2026-07-02,2210.60009765625,2216.0,2179.199951171875,2186.0,2585362
2026-07-03,2201.199951171875,2239.300048828125,2190.0,2224.89990234375,1536616
2026-07-06,2202.0,2221.39990234375,2190.300048828125,2202.10009765625,2131061
2026-07-07,2208.800048828125,2219.39990234375,2193.699951171875,2200.0,2552492
2026-07-08,2135.800048828125,2199.0,2130.0,2199.0,1326689
2026-07-09,2144.5,2166.800048828125,2137.10009765625,2139.0,2201039
2026-07-10,2150.60009765625,2178.0,2145.0,2151.5,1665179
2026-07-13,2130.60009765625,2143.0,2120.0,2143.0,1833988
2026-07-14,2120.199951171875,2145.0,2116.10009765625,2125.0,2681897
2026-07-15,2102.60009765625,2128.5,2091.0,2121.0,2029614
2026-07-16,2098.39990234375,2123.0,2096.0,2104.89990234375,2143092
2026-07-17,2143.800048828125,2154.5,2092.10009765625,2100.0,1059832
2026-07-20,2139.699951171875,2153.800048828125,2128.39990234375,2153.800048828125,689849
2026-07-21,2142.5,2147.699951171875,2127.5,2139.699951171875,1032417
2026-07-22,2154.60009765625,2159.89990234375,2130.0,2139.699951171875,819175
2026-07-23,2161.800048828125,2166.0,2139.89990234375,2150.0,833281
2026-07-24,2145.0,2163.0,2139.0,2148.0,1603494
2026-07-27,2174.60009765625,2181.300048828125,2152.39990234375,2155.0,698681
2026-07-28,2022.699951171875,2213.0,2016.0,2174.60009765625,9947304
2026-07-29,2117.800048828125,2123.0,2047.0,2050.5,5183374
2026-07-30,2107.89990234375,2132.60009765625,2088.0,2120.0,2602039
2026-07-31,2101.300048828125,2119.60009765625,2091.10009765625,2119.60009765625,1758982
