Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2026-06-30,14115.0,14201.0,13510.0,13744.0,1511415
2026-07-01,14395.0,14549.0,14070.0,14151.0,1397790
2026-07-02,14348.0,14490.0,14275.0,14431.0,327088
2026-07-03,14366.0,14520.0,14333.0,14450.0,384188
2026-07-06,14456.0,14526.0,14291.0,14348.0,214686
2026-07-07,14538.0,14598.0,14414.0,14463.0,524759
2026-07-08,13951.0,14500.0,13880.0,14475.0,481076
2026-07-09,13728.0,14037.0,13700.0,14000.0,576451
2026-07-10,13854.0,13987.0,13776.0,13800.0,430154
2026-07-13,13695.0,13841.0,13536.0,13682.0,458633
2026-07-14,13489.0,13690.0,13470.0,13619.0,368645
2026-07-15,13583.0,13606.0,13435.0,13503.0,456369
2026-07-16,13783.0,13845.0,13584.0,13605.0,356847
2026-07-17,13803.0,13885.0,13700.0,13750.0,237330
2026-07-20,13514.0,13832.0,13377.0,13824.0,517730
2026-07-21,13597.0,13655.0,13348.0,13520.0,341101
2026-07-22,13545.0,13719.0,13491.0,13596.0,299404
2026-07-23,13403.0,13568.0,13372.0,13541.0,327912
2026-07-24,13442.0,13495.0,13197.0,13340.0,223369
2026-07-27,13730.0,13760.0,13501.0,13579.0,333477
2026-07-28,13802.0,13848.0,13669.0,13729.0,481068
2026-07-29,13948.0,13980.0,13720.0,13780.0,515674
2026-07-30,14188.0,14250.0,13825.0,13939.0,626000
2026-07-31,14234.0,14348.0,14124.0,14250.0,535409
