Price,Close,High,Low,Open,Volume
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
Date,,,,,
2026-06-30,3036.907958984375,3090.445587082442,3029.980705538518,3072.731707055121,3882185
2026-07-01,3097.471923828125,3133.3947296040697,3055.9084028055113,3055.9084028055113,2754707
2026-07-02,3142.39990234375,3156.8482700644095,3079.1640728230127,3104.2011936304143,2624368
2026-07-03,3136.89990234375,3197.0,3127.300048828125,3194.0,2414988
2026-07-06,3201.199951171875,3212.699951171875,3124.89990234375,3157.89990234375,2637740
2026-07-07,3196.39990234375,3217.10009765625,3181.0,3210.800048828125,2426521
2026-07-08,3102.5,3200.89990234375,3088.199951171875,3175.0,2933765
2026-07-09,3085.39990234375,3139.699951171875,3080.300048828125,3101.0,2922682
2026-07-10,3129.39990234375,3135.0,3105.199951171875,3109.0,1814898
2026-07-13,3160.39990234375,3169.0,3082.0,3088.800048828125,1770170
2026-07-14,3093.300048828125,3130.0,3082.199951171875,3121.0,2376410
2026-07-15,3082.89990234375,3119.89990234375,3079.39990234375,3088.800048828125,2377390
2026-07-16,3117.800048828125,3146.0,3089.39990234375,3117.0,1978238
2026-07-17,3179.199951171875,3183.199951171875,3119.0,3119.0,1627877
2026-07-20,3165.5,3183.5,3140.5,3179.199951171875,1768417
2026-07-21,3201.699951171875,3212.0,3143.0,3153.800048828125,1776773
2026-07-22,3175.300048828125,3219.89990234375,3166.89990234375,3198.0,1784375
2026-07-23,3229.699951171875,3250.0,3156.0,3156.0,2705691
2026-07-24,3161.39990234375,3217.0,3135.10009765625,3215.300048828125,2135688
2026-07-27,3238.60009765625,3246.800048828125,3179.0,3183.0,2264570
2026-07-28,3271.199951171875,3284.699951171875,3222.0,3225.0,2208579
2026-07-29,3221.800048828125,3321.199951171875,3211.800048828125,3280.10009765625,3693381
2026-07-30,3283.699951171875,3327.0,3197.5,3220.0,4851980
2026-07-31,3398.5,3457.0,3243.300048828125,3379.89990234375,6129983
