Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2026-06-30,1857.6314697265625,1887.952029206841,1854.5395974023631,1880.0726552668834,2352774
2026-07-01,1861.32177734375,1882.4664344219946,1855.3374611095492,1872.9912670511767,1230360
2026-07-02,1866.1092529296875,1877.0804992055969,1863.4163593624537,1871.096183055101,1485296
2026-07-03,1899.8209228515625,1920.0677858283739,1866.7076342286875,1875.0857010730883,2168491
2026-07-06,1907.800048828125,1911.989021457903,1895.0334589306287,1899.0230030546934,1213635
2026-07-07,1903.4000244140625,1924.9000244140625,1898.5999755859375,1900.5999755859375,2060613
2026-07-08,1888.199951171875,1929.5,1875.0999755859375,1904.0,2785926
2026-07-09,1938.699951171875,1952.0,1888.199951171875,1889.9000244140625,4446201
2026-07-10,1935.5,1953.9000244140625,1926.5999755859375,1942.800048828125,1478172
2026-07-13,1921.4000244140625,1933.0999755859375,1911.0,1925.9000244140625,1573176
2026-07-14,1942.5999755859375,1950.800048828125,1910.0,1910.0,2822124
2026-07-15,1951.5,1962.699951171875,1943.300048828125,1955.0,2283494
2026-07-16,1950.0999755859375,1957.699951171875,1943.0,1950.0,1396189
2026-07-17,1932.5999755859375,1952.5999755859375,1922.5,1948.699951171875,2475664
2026-07-20,1956.4000244140625,1958.800048828125,1935.0,1942.0,1676034
2026-07-21,1961.9000244140625,1966.5,1938.199951171875,1952.0999755859375,1412579
2026-07-22,1943.0,1951.800048828125,1925.199951171875,1938.0,1718430
2026-07-23,1954.0,1958.5,1926.800048828125,1929.0999755859375,2057288
2026-07-24,1941.0999755859375,1959.800048828125,1934.800048828125,1945.0,1578929
2026-07-27,1973.699951171875,1977.0,1933.0,1948.5,5414380
2026-07-28,1976.699951171875,1993.0,1970.9000244140625,1978.800048828125,4579529
2026-07-29,1989.9000244140625,1992.699951171875,1960.4000244140625,1977.0,2682295
2026-07-30,2001.0999755859375,2017.300048828125,1988.0,1993.0999755859375,2224264
2026-07-31,1990.5,2046.9000244140625,1965.300048828125,2016.4000244140625,4953631
