Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2026-06-30,11027.90234375,11149.421928805097,10994.582457525215,11090.622129584888,331714
2026-07-01,11226.841796875,11255.261700166671,11072.002323768658,11073.962317099118,119013
2026-07-02,11305.2421875,11336.602082610958,11214.10249233378,11300.342203888913,137631
2026-07-03,11488.5009765625,11509.080906657853,11345.421462566243,11345.421462566243,157877
2026-07-06,11427.7412109375,11515.940911562178,11395.401320708452,11488.501004701167,158010
2026-07-07,11415.9814453125,11514.961111032868,11375.801581010173,11421.861425454304,152287
2026-07-08,11125.90234375,11367.96152448692,11062.202559345547,11324.841670428521,213785
2026-07-09,11293.4814453125,11377.761157590952,11130.802000682,11130.802000682,161622
2026-07-10,11476.7412109375,11490.461164566834,11352.281631585689,11352.281631585689,135130
2026-07-13,11339.5419921875,11406.181768824674,11304.262110438407,11367.961896929824,121301
2026-07-14,11266.0419921875,11312.101836797174,11127.862458358477,11232.722104597522,404659
2026-07-15,11575.720703125,11617.860560070003,11273.881727798002,11273.881727798002,379635
2026-07-16,11535.541015625,11638.440667875499,11471.8412308985,11622.7607208659,260149
2026-07-17,11492.4208984375,11565.920648363552,11429.701111833936,11534.56075506177,247044
2026-07-20,11664.900390625,11760.94006451236,11418.921225872678,11532.6008398618,456048
2026-07-21,11852.080078125,11883.439972494109,11687.44063268718,11828.560157348169,830840
2026-07-22,11655.1005859375,11928.519661316004,11618.840708557555,11839.33996289506,283753
2026-07-23,11669.80078125,11728.60058364125,11524.761268684919,11557.101160000106,415137
2026-07-24,11609.041015625,11660.980841205628,11456.16152901032,11514.961331554428,229015
2026-07-27,11643.3408203125,11759.960427889066,11516.921245712692,11666.860741168279,250956
2026-07-28,11716.83984375,11807.979531393756,11585.520293811685,11656.080051987496,406573
2026-07-29,11758.0,11848.159693282214,11740.360060010002,11808.959826637774,282068
2026-07-30,11847.0,11861.0,11730.0,11800.0,291418
2026-07-31,11903.0,12009.0,11799.0,11850.0,390462
